,tac_agent_5,tac_agent_0,tac_agent_2,tac_agent_3,tac_agent_9,tac_agent_7,tac_agent_1,tac_agent_6,tac_agent_4,tac_agent_8
0,318.7397720398748,295.83929843864973,320.7427804603907,307.1333720148447,305.1374826890361,318.39712255424564,337.6679158992158,318.40347123672086,317.27160382790464,302.39681793272865
1,310.5943356984114,296.2594422124154,298.25760703418763,325.29812710645575,323.56621797278143,315.69301531022074,287.99014990654746,308.7288903927805,303.44089077547403,317.3601186368718
2,308.95530585564205,331.06272793751776,314.51718204501464,296.68265012969783,311.45943600145637,309.1902587172969,331.9714720153677,302.9475565345649,310.6643926107886,310.21915318675315
3,310.0438460568081,296.50636471821974,325.629542221927,337.06086852598014,327.384884828309,307.77903220092526,302.5123315746043,304.1923228844423,303.9962624183405,314.38924965414117
4,306.09868807486544,290.86526141830603,300.5285972892709,313.00337537840085,321.33970202823684,333.25714558437096,308.7751615074003,316.27577597371004,309.8650209734514,297.27961371233516
5,303.87906220878494,320.50645326326423,302.86653768892916,319.39093119009317,321.6797522392862,318.1921564883611,304.27966047689154,314.18964552355266,320.66743124551806,325.40889031556355
6,304.43870802805185,288.8378327807698,317.38114241418975,301.8654654111449,300.6751641741533,299.48005681472046,315.46561543406267,308.48510035859454,301.6941068643929,301.1210152914486
7,309.80598110365145,312.08729782076205,300.0645636690409,300.83118462535674,307.59088570901974,311.4508853390361,320.879355560223,304.03528536080063,311.9666094563891,319.169648745017
8,326.7216502567838,319.922045528357,306.16166284376175,307.4899730719735,319.7587586153562,316.38162590941386,298.0492319663042,314.56352724198155,314.01131489892225,317.158498169386
9,294.517887571204,304.9749531953039,305.8355922034484,304.0202254892381,324.84231657967626,310.9678838848,313.26108937116715,306.69585247768043,321.7087917899988,318.40791823451366
10,302.8674478956507,314.62949548237526,322.81168953081124,321.23979055742495,298.38971183032993,307.21922774101324,294.24995598356384,308.0035182364125,309.03192796030135,323.4058951473893
11,299.6400466446959,327.3528844220263,318.61450665698897,301.16083095592836,319.6394165388766,311.7110948397918,307.52690115985627,312.6241434972311,296.5626602218412,324.7092245463879
12,305.60177326655094,319.4217390932809,312.0733322573345,332.9052417938067,321.63959888055894,330.53301407144306,297.732544834504,325.5585155355489,311.34546302082276,304.8796919050982
13,306.598074546847,326.31218890172227,325.54662516547603,318.9481838892289,306.45828000561363,299.1379136189542,307.5622693152239,321.5652725149407,314.23525020984493,305.66760988286745
